Datum tenaamstelling,Brandstof omschrijving,Kenteken
1953-01-22,Benzine,1
1959-05-15,Benzine,2
1961-05-24,Benzine,3
1965-04-21,Benzine,4
1966-08-22,Benzine,5
1967-03-29,Benzine,6
1967-04-21,Benzine,7
1968-01-09,Benzine,8
1968-04-16,Benzine,9
1968-11-11,Benzine,10
1969-05-28,Benzine,11
1969-10-15,Benzine,12
1969-11-19,Benzine,13
1969-11-28,Benzine,14
1970-04-10,Benzine,15
1970-05-04,Benzine,16
1970-10-09,Benzine,17
1970-10-28,Benzine,19
1970-12-15,Benzine,20
1970-12-18,Benzine,21
1971-04-05,Benzine,22
1971-06-10,Benzine,23
1971-07-16,Benzine,24
1971-08-11,Benzine,25
1971-08-24,Benzine,26
1971-09-20,Benzine,27
1972-02-21,Benzine,28
1972-04-21,Benzine,29
1972-05-24,Benzine,30
1972-06-29,Benzine,31
1972-09-21,Benzine,32
1972-10-31,Benzine,33
1973-01-23,Benzine,34
1973-05-01,Benzine,35
1973-06-13,Benzine,36
1973-08-13,Benzine,37
1973-08-29,Benzine,38
1973-11-07,Benzine,39
1974-02-04,Benzine,40
1974-04-29,Benzine,41
1974-08-07,Benzine,43
1974-08-12,Benzine,44
1974-08-27,Benzine,45
1974-09-02,Benzine,46
1974-12-06,Benzine,47
1975-01-08,Benzine,48
1975-01-09,Benzine,49
1975-02-27,Benzine,50
1975-03-14,Benzine,51
1975-03-28,Benzine,52
1975-08-20,Benzine,53
1975-09-18,Benzine,54
1975-10-16,Benzine,55
1975-11-06,Benzine,56
1975-12-10,LPG,1
1976-01-01,Benzine,60
1976-10-26,Benzine,61
1977-02-17,Benzine,62
1977-05-26,Benzine,63
1977-06-02,Benzine,64
1977-07-06,Benzine,65
1977-07-07,Benzine,66
1977-07-12,Benzine,67
1977-07-21,Benzine,68
1977-08-01,Benzine,69
1977-08-05,Benzine,70
1977-10-06,Benzine,71
1977-10-14,Benzine,72
1977-10-18,Benzine,74
1977-11-09,Benzine,75
1977-12-20,Benzine,76
1978-01-06,Benzine,77
1978-02-01,Benzine,78
1978-02-11,Benzine,79
1978-03-22,Benzine,80
1978-04-06,Benzine,81
1978-05-13,Benzine,82
1978-05-19,Benzine,83
1978-06-09,Benzine,84
1978-06-29,Benzine,85
1978-07-27,Benzine,86
1978-08-17,Benzine,87
1978-08-24,Benzine,88
1978-08-25,Benzine,89
1978-08-30,Benzine,90
1978-09-07,Benzine,91
1978-09-08,Benzine,93
1978-09-16,Benzine,94
1978-10-16,Benzine,95
1978-11-01,Benzine,96
1978-11-08,Benzine,97
