Datum tenaamstelling,Brandstof omschrijving,Kenteken
1961-11-13,Benzine,1
1969-11-03,Diesel,1
1972-11-28,Benzine,2
1973-05-15,Benzine,3
1973-08-22,Benzine,4
1974-06-14,Benzine,5
1974-11-29,Benzine,6
1975-09-30,Benzine,7
1976-01-01,Benzine,10
1976-03-05,Benzine,11
1976-05-26,Benzine,12
1976-07-09,Benzine,13
1976-07-20,Benzine,14
1976-07-21,Benzine,15
1976-09-24,Benzine,16
1976-11-10,Benzine,17
1976-11-16,Diesel,2
1977-01-17,Benzine,18
1977-01-28,Benzine,19
1977-05-02,Benzine,20
1977-07-04,Benzine,21
1977-07-26,Benzine,22
1977-12-08,Benzine,24
1977-12-19,Benzine,25
1978-02-03,Benzine,26
1978-02-22,Benzine,27
1978-04-10,Benzine,28
1978-04-26,Benzine,29
1978-05-12,Benzine,30
1978-07-20,Benzine,31
1978-08-09,Benzine,32
1978-08-21,Benzine,33
1978-09-08,Diesel,3
1978-09-21,Benzine,34
1978-10-05,Diesel,4
1978-10-16,Benzine,35
1978-10-20,Benzine,36
1978-11-16,Benzine,37
1979-01-11,Benzine,38
1979-03-02,Benzine,39
1979-07-14,Benzine,40
1979-07-27,Benzine,41
1979-08-22,Benzine,42
1979-08-24,Benzine,43
1979-09-25,Benzine,44
1979-11-06,Benzine,45
1979-11-29,Benzine,46
1979-12-21,Benzine,48
1980-01-15,Benzine,49
1980-01-17,Benzine,50
1980-01-25,Benzine,51
1980-03-14,Benzine,52
1980-05-02,Benzine,53
1980-05-13,Benzine,54
1980-05-31,Benzine,55
1980-07-29,Benzine,56
1980-10-06,Benzine,57
1980-11-12,Benzine,58
1981-02-02,Benzine,59
1981-02-21,Diesel,5
1981-02-23,Benzine,60
1981-02-25,Benzine,61
1981-02-26,Benzine,62
1981-04-11,Benzine,63
1981-04-25,Benzine,64
1981-05-06,Benzine,65
1981-05-20,Benzine,66
1981-06-12,Benzine,67
1981-07-09,Diesel,6
1981-07-10,Benzine,68
1981-07-23,Benzine,69
1981-07-29,Benzine,70
1981-08-28,Benzine,71
1981-10-12,Benzine,72
1982-01-25,Benzine,73
1982-02-01,Benzine,74
1982-02-04,Benzine,75
1982-03-22,Benzine,76
1982-03-25,Benzine,77
1982-04-05,Benzine,78
1982-04-06,Benzine,79
1982-05-03,Benzine,80
1982-05-26,Benzine,81
1982-06-17,Benzine,82
1982-07-06,Benzine,83
1982-07-12,Benzine,84
1982-07-19,Benzine,85
1982-08-16,Benzine,86
1982-08-23,Benzine,87
1982-10-18,LPG,1
1982-10-21,Benzine,88
1982-11-09,Benzine,89
1982-12-07,Benzine,90
1982-12-15,Benzine,91
1982-12-17,Benzine,92
1983-02-25,Benzine,93
1983-02-28,Benzine,94
1983-03-11,Benzine,95
1983-03-17,Benzine,97
1983-04-20,Benzine,98
1983-04-22,Benzine,99
1983-05-17,Benzine,100
1983-05-18,Benzine,101
1983-06-30,Benzine,102
1983-07-05,Benzine,103
1983-08-03,Benzine,104
1983-08-15,Benzine,105
1983-09-29,Benzine,106
1983-10-28,Benzine,107
1984-01-30,Benzine,108
1984-02-15,Benzine,109
1984-03-15,Benzine,111
1984-04-04,Benzine,112
1984-04-16,Benzine,113
1984-05-01,Benzine,114
1984-05-18,LPG,2
1984-05-25,Benzine,116
1984-05-28,Benzine,117
1984-06-07,Diesel,7
1984-07-10,Benzine,118
1984-07-19,Benzine,119
1984-07-23,Benzine,120
1984-07-25,Benzine,121
1984-07-31,Benzine,122
1984-08-25,Benzine,123
1984-09-03,Benzine,124
1984-09-06,LPG,3
1984-09-11,Benzine,125
1984-09-14,Benzine,126
1984-10-11,Benzine,127
1984-11-09,Benzine,128
1985-01-08,Benzine,129
1985-01-25,Benzine,130
1985-02-18,Diesel,8
1985-04-04,Diesel,9
1985-04-22,Benzine,131
1985-04-26,Benzine,132
1985-05-02,Benzine,133
1985-05-08,Benzine,134
1985-06-05,Benzine,135
1985-06-13,Diesel,10
1985-06-17,Benzine,136
1985-07-16,Diesel,11
1985-08-02,Diesel,12
1985-08-26,Benzine,137
1985-08-29,Benzine,138
1985-09-04,Benzine,139
1985-09-20,Benzine,140
1985-09-23,Benzine,141
1985-10-02,Benzine,142
1985-10-25,Diesel,13
1985-11-01,Benzine,143
1985-11-07,LPG,4
1985-11-07,Diesel,14
1985-11-16,Benzine,144
1985-11-18,Benzine,145
1985-12-16,Diesel,15
1986-01-09,Benzine,146
1986-01-24,Diesel,16
1986-01-31,Benzine,149
1986-02-06,Benzine,150
1986-02-24,Benzine,151
1986-03-18,Benzine,152
1986-03-21,Benzine,153
1986-04-08,Benzine,154
1986-04-17,Benzine,155
1986-06-06,Benzine,156
1986-06-13,Benzine,157
1986-06-25,Benzine,158
1986-07-02,Benzine,159
1986-07-24,Benzine,160
1986-08-01,Benzine,161
1986-08-02,Benzine,162
1986-08-09,Benzine,163
1986-08-15,Benzine,164
1986-08-28,Diesel,17
1986-08-28,LPG,5
1986-09-02,Benzine,166
1986-09-15,Benzine,167
1986-09-30,Benzine,168
1986-10-03,Benzine,169
1986-10-23,Benzine,170
1986-10-27,Benzine,171
1986-10-31,Benzine,173
1986-11-04,Benzine,174
1986-11-14,Benzine,175
1986-11-20,Benzine,176
1986-11-24,Benzine,177
1986-11-29,Benzine,178
1986-12-02,Benzine,180
1986-12-11,Benzine,182
1987-01-05,Diesel,18
1987-01-09,Benzine,183
1987-01-28,Diesel,19
1987-01-29,Benzine,184
1987-03-12,Benzine,185
1987-03-23,Diesel,20
1987-04-06,LPG,6
1987-04-24,Benzine,187
1987-05-05,Benzine,188
1987-05-08,Benzine,189
1987-05-11,Diesel,21
1987-05-13,Benzine,190
1987-05-14,Benzine,191
1987-05-27,Diesel,22
1987-06-02,Diesel,23
1987-06-06,Benzine,192
1987-06-29,Benzine,193
1987-07-01,Benzine,194
1987-07-06,Benzine,195
1987-07-11,Benzine,196
1987-07-22,Benzine,197
1987-07-23,Benzine,198
1987-07-27,Benzine,199
1987-08-03,Benzine,200
1987-08-04,Benzine,201
1987-09-10,Benzine,202
1987-09-17,Benzine,203
1987-09-30,Benzine,204
1987-10-02,Benzine,205
1987-10-05,Benzine,206
1987-10-06,Diesel,24
1987-10-17,Diesel,25
1987-10-19,Benzine,207
1987-10-20,Benzine,208
1987-10-22,Diesel,26
1987-11-02,Benzine,209
1987-11-12,Benzine,210
1987-11-18,Benzine,211
1987-12-02,Benzine,212
1987-12-12,Benzine,213
1987-12-17,Benzine,214
1987-12-24,Benzine,216
1987-12-24,Diesel,27
1987-12-29,Benzine,217
1988-01-04,Benzine,218
1988-01-06,Benzine,219
1988-02-03,LPG,7
1988-02-19,Benzine,220
1988-02-24,Benzine,221
1988-02-26,Benzine,222
1988-02-29,Benzine,223
1988-03-11,Benzine,224
1988-03-29,Benzine,225
1988-03-30,Benzine,226
1988-03-31,Benzine,227
1988-04-08,Diesel,29
1988-04-19,Benzine,228
1988-04-22,Benzine,229
1988-04-25,Benzine,230
1988-05-04,Benzine,231
1988-05-15,Benzine,232
1988-05-20,Benzine,233
1988-05-24,Benzine,234
1988-05-27,Benzine,235
1988-05-31,Benzine,236
1988-06-01,Benzine,237
1988-06-02,Benzine,239
1988-06-03,Benzine,241
1988-06-07,LPG,8
1988-06-08,Benzine,242
1988-06-13,Benzine,243
1988-06-14,Benzine,245
1988-06-17,Diesel,30
1988-06-20,Diesel,31
1988-06-30,Diesel,32
1988-07-01,Benzine,246
1988-08-03,Benzine,247
1988-08-11,Benzine,248
1988-08-15,Benzine,249
1988-08-18,Benzine,250
1988-08-22,Benzine,251
1988-08-29,Benzine,252
1988-09-19,Benzine,253
1988-09-27,Benzine,254
1988-09-28,LPG,9
1988-10-01,Benzine,255
1988-10-03,Benzine,256
1988-10-08,Benzine,257
1988-10-18,Benzine,258
1988-11-22,Benzine,259
1988-11-29,Benzine,261
1988-12-07,Benzine,262
1988-12-08,Benzine,263
1988-12-09,Benzine,264
1988-12-27,Benzine,265
1989-01-07,Benzine,266
1989-01-11,Benzine,267
1989-01-13,Benzine,269
1989-01-27,Diesel,33
1989-01-31,Benzine,270
1989-02-02,Benzine,271
1989-02-10,Benzine,272
1989-02-17,Benzine,273
1989-02-24,Benzine,274
1989-02-27,Benzine,275
1989-03-02,Benzine,276
1989-03-10,Benzine,277
1989-03-14,Benzine,278
1989-04-05,Benzine,279
1989-04-13,Benzine,280
1989-04-18,Benzine,281
1989-04-19,Benzine,282
1989-05-02,Benzine,283
1989-05-12,Benzine,284
1989-05-17,Benzine,285
1989-05-25,Benzine,287
1989-06-05,Benzine,288
1989-06-20,Benzine,291
1989-06-22,Benzine,292
1989-07-12,Benzine,293
1989-07-13,Benzine,295
1989-07-17,Benzine,296
1989-07-20,Benzine,297
1989-07-26,Benzine,298
1989-07-28,Benzine,300
1989-08-03,Benzine,301
1989-08-07,Benzine,302
1989-08-14,Benzine,304
1989-08-15,Benzine,305
1989-08-18,Benzine,306
1989-08-23,Benzine,307
1989-09-01,Benzine,308
1989-09-30,Benzine,309
1989-10-12,Benzine,311
1989-10-17,Benzine,312
1989-10-21,Benzine,313
1989-11-10,Benzine,314
1989-11-24,Benzine,315
1989-11-25,Benzine,316
1989-11-29,Benzine,317
1989-11-30,Diesel,34
1989-12-06,Benzine,318
1989-12-11,Benzine,319
1989-12-16,Benzine,320
1989-12-29,Benzine,321
1990-01-09,Benzine,322
1990-01-11,Benzine,323
1990-01-16,Benzine,324
1990-01-23,Benzine,325
1990-01-24,Benzine,326
1990-01-25,Benzine,327
1990-01-30,Benzine,328
1990-01-31,Benzine,330
1990-02-06,Benzine,331
1990-02-12,Benzine,332
1990-02-13,Benzine,333
1990-02-21,Diesel,36
1990-02-26,Diesel,37
1990-03-05,Diesel,38
1990-03-20,Benzine,335
1990-03-26,Diesel,39
1990-03-26,Benzine,336
1990-03-28,Benzine,338
1990-03-29,Benzine,339
1990-04-02,Diesel,40
1990-04-06,Diesel,41
1990-04-20,Benzine,340
1990-04-23,Benzine,342
1990-05-02,Diesel,42
1990-05-04,Benzine,343
1990-05-07,Benzine,344
1990-05-17,Benzine,345
1990-05-22,Benzine,347
1990-05-28,Benzine,348
1990-05-31,Benzine,350
1990-06-07,Diesel,43
1990-06-12,Benzine,351
1990-06-15,Diesel,44
1990-06-22,Benzine,352
1990-06-28,Benzine,353
1990-07-13,Benzine,354
1990-07-14,Diesel,45
1990-07-20,Benzine,355
1990-07-31,Benzine,356
1990-08-10,Benzine,357
1990-08-13,Benzine,358
1990-08-23,Benzine,360
1990-08-24,Benzine,361
1990-08-31,Benzine,362
1990-09-06,Benzine,364
1990-09-13,Benzine,365
1990-09-26,Benzine,366
1990-09-28,Benzine,367
1990-10-12,Benzine,368
1990-10-24,Benzine,369
1990-10-26,Benzine,370
1990-10-27,Diesel,46
1990-10-29,Benzine,371
1990-11-01,Benzine,372
1990-11-08,Benzine,373
1990-11-09,Benzine,374
1990-11-15,Benzine,375
1990-11-26,Benzine,376
1990-12-04,LPG,10
1990-12-07,Benzine,377
1990-12-12,Benzine,378
1990-12-15,Benzine,379
1991-01-04,Benzine,380
1991-01-11,Benzine,381
1991-01-23,Benzine,382
1991-01-29,Benzine,383
1991-01-29,Diesel,47
1991-01-31,Diesel,48
1991-02-08,Benzine,384
1991-02-23,Benzine,385
1991-02-28,Benzine,386
1991-03-05,Benzine,387
1991-03-08,Benzine,388
1991-03-19,Benzine,389
1991-03-28,Benzine,391
1991-04-03,Benzine,392
1991-04-05,Benzine,393
1991-04-08,Benzine,395
1991-04-12,Benzine,398
1991-04-15,Benzine,400
1991-04-16,Benzine,401
1991-04-19,Benzine,402
1991-04-24,Benzine,403
1991-04-25,Benzine,405
1991-04-26,Benzine,406
1991-04-29,Diesel,49
1991-05-08,Benzine,407
1991-05-10,Benzine,408
1991-05-13,Benzine,409
1991-05-17,Benzine,410
1991-05-21,Benzine,412
1991-05-25,Benzine,413
1991-05-29,Benzine,415
1991-05-30,Benzine,417
1991-05-31,Benzine,418
1991-06-03,Benzine,419
1991-06-04,Benzine,420
1991-06-07,Benzine,421
1991-06-12,Benzine,422
1991-06-13,Benzine,423
1991-06-17,Benzine,424
1991-06-21,Benzine,425
1991-06-28,Benzine,426
1991-07-02,Benzine,427
1991-07-04,Benzine,428
1991-07-05,Benzine,429
1991-07-13,Benzine,430
1991-07-17,Benzine,433
1991-07-26,Diesel,50
1991-07-30,Benzine,434
1991-08-05,LPG,11
1991-08-14,Benzine,435
1991-08-20,Benzine,436
1991-08-24,Benzine,437
1991-08-28,Benzine,438
1991-09-05,Benzine,439
1991-09-06,Benzine,440
1991-09-07,Diesel,51
1991-09-19,Benzine,441
1991-09-30,Benzine,442
1991-10-09,Benzine,443
1991-10-10,LPG,12
1991-10-11,Diesel,52
1991-10-12,Benzine,444
1991-10-14,Benzine,445
1991-10-17,Benzine,446
1991-10-18,Benzine,447
1991-10-21,Diesel,53
1991-10-23,Benzine,448
1991-10-25,Benzine,449
1991-11-01,Benzine,450
1991-11-05,Benzine,451
1991-11-15,Benzine,452
1991-11-18,LPG,13
1991-11-18,Benzine,453
1991-11-19,Benzine,454
1991-11-25,Benzine,456
1991-11-27,Benzine,457
1991-12-02,Benzine,458
1991-12-04,Benzine,459
1991-12-10,Benzine,460
1991-12-20,Benzine,461
1991-12-23,Benzine,462
1991-12-27,Benzine,463
1992-01-02,Benzine,464
1992-01-03,Benzine,465
1992-01-08,Benzine,466
1992-01-08,Diesel,54
1992-01-10,LPG,14
1992-01-10,Benzine,467
1992-01-13,Benzine,468
1992-01-14,Benzine,469
1992-01-21,Benzine,470
1992-01-24,Benzine,471
1992-01-30,Benzine,472
1992-01-31,Diesel,55
1992-02-12,Benzine,473
1992-02-21,Benzine,474
1992-02-27,Benzine,475
1992-03-04,Benzine,476
1992-03-09,Benzine,477
1992-03-12,Benzine,478
1992-03-13,Benzine,480
1992-03-31,Diesel,56
1992-03-31,Benzine,481
1992-04-01,Benzine,482
1992-04-03,Benzine,483
1992-04-08,Benzine,484
1992-04-10,Benzine,485
1992-04-13,Benzine,486
1992-04-15,Benzine,488
1992-04-15,Diesel,57
1992-04-17,Benzine,490
1992-04-28,Benzine,491
1992-04-29,LPG,15
1992-05-01,Benzine,492
1992-05-05,Benzine,493
1992-05-06,LPG,16
1992-05-06,Diesel,58
1992-05-09,Benzine,494
1992-05-11,Benzine,495
1992-05-12,Benzine,496
1992-05-25,Benzine,497
1992-05-26,Benzine,498
1992-05-27,Benzine,499
1992-05-29,Benzine,500
1992-06-12,Benzine,501
1992-06-17,LPG,17
1992-06-29,Benzine,502
1992-06-30,Benzine,503
1992-07-04,Benzine,504
1992-07-07,Benzine,505
1992-07-16,Benzine,506
1992-07-18,Benzine,507
1992-07-20,Benzine,508
1992-07-27,LPG,18
1992-07-30,Benzine,509
1992-08-04,Benzine,510
1992-08-13,Benzine,511
1992-08-14,Benzine,512
1992-08-17,Benzine,514
1992-08-19,Benzine,515
1992-08-24,Benzine,516
1992-08-31,Benzine,517
1992-09-07,Benzine,518
1992-09-08,Benzine,519
1992-09-11,Benzine,520
1992-09-15,Benzine,521
1992-09-18,Benzine,522
1992-09-22,Benzine,523
1992-09-30,Benzine,524
1992-10-02,Benzine,525
1992-10-05,Benzine,526
1992-10-07,Benzine,527
1992-10-08,Benzine,528
1992-10-24,Benzine,530
1992-10-28,Benzine,531
1992-11-10,Benzine,532
1992-11-16,Benzine,533
1992-11-18,Benzine,534
1992-11-20,Benzine,535
1992-11-24,Diesel,59
1992-11-25,Benzine,536
1992-11-25,Diesel,60
1992-11-27,Benzine,537
1992-12-03,Benzine,538
1992-12-07,Benzine,539
1992-12-10,Benzine,540
1992-12-12,Benzine,541
1992-12-14,Diesel,61
1992-12-15,Benzine,542
1992-12-16,Benzine,543
1992-12-16,Diesel,62
1992-12-18,Benzine,544
1992-12-24,Benzine,545
1992-12-29,Diesel,63
1992-12-31,Benzine,546
1993-01-02,Benzine,547
1993-01-07,Benzine,548
1993-01-12,Diesel,64
1993-01-12,Benzine,549
1993-01-15,Benzine,550
1993-01-19,Benzine,551
1993-01-20,Benzine,552
1993-02-09,Diesel,65
1993-02-10,Benzine,553
1993-02-11,Diesel,66
1993-02-23,Benzine,554
1993-02-24,Benzine,555
1993-02-25,Benzine,556
1993-02-26,Benzine,558
1993-03-18,Benzine,559
1993-03-22,Benzine,560
1993-03-23,Benzine,561
1993-03-24,Benzine,562
1993-03-31,Benzine,563
1993-04-01,Benzine,564
1993-04-03,Benzine,565
1993-04-05,Benzine,567
1993-04-06,Benzine,568
1993-04-14,Benzine,569
1993-04-16,Benzine,570
1993-04-19,Benzine,571
1993-04-20,Benzine,572
1993-04-21,Diesel,67
1993-04-23,Benzine,573
1993-04-26,Benzine,574
1993-04-27,Benzine,575
1993-04-29,Diesel,68
1993-05-04,Benzine,576
1993-05-08,Benzine,577
1993-05-11,Benzine,578
1993-05-13,Benzine,579
1993-05-14,Benzine,580
1993-05-17,Benzine,581
1993-05-18,Benzine,582
1993-05-26,Benzine,584
1993-05-28,Benzine,586
1993-06-07,Diesel,69
1993-06-07,Benzine,588
1993-06-10,Benzine,590
1993-06-25,Benzine,591
1993-06-26,Benzine,592
1993-06-29,Benzine,593
1993-07-02,Benzine,594
1993-07-09,Benzine,595
1993-07-12,Benzine,596
1993-07-14,LPG,19
1993-07-19,Benzine,597
1993-07-22,Benzine,598
1993-07-26,Benzine,599
1993-07-27,Benzine,600
1993-08-07,Benzine,601
1993-08-16,Benzine,602
1993-08-18,Benzine,603
1993-08-19,Benzine,604
1993-08-25,Benzine,605
1993-08-26,Benzine,606
1993-08-27,Benzine,608
1993-08-31,Benzine,609
1993-09-06,Benzine,610
1993-09-10,Benzine,611
1993-09-18,Benzine,612
1993-09-20,Benzine,613
1993-09-22,Benzine,614
1993-09-30,Benzine,615
1993-10-06,Benzine,616
1993-10-07,Diesel,70
1993-10-12,Diesel,72
1993-10-19,Benzine,617
1993-10-20,Benzine,618
1993-10-22,Benzine,619
1993-10-23,Benzine,620
1993-10-25,Benzine,621
1993-11-03,Benzine,622
1993-11-04,Diesel,73
1993-11-12,Benzine,623
1993-11-15,Benzine,624
1993-11-29,Diesel,74
1993-11-30,Benzine,625
1993-12-15,Diesel,75
1993-12-16,Benzine,626
1993-12-17,Benzine,627
1993-12-18,Diesel,76
1993-12-20,Diesel,77
1993-12-21,Benzine,628
1993-12-28,LPG,20
1993-12-28,Benzine,629
1993-12-31,Diesel,78
1994-01-06,Benzine,630
1994-01-10,Diesel,79
1994-01-12,Benzine,631
1994-01-14,Benzine,632
1994-01-21,Benzine,633
1994-01-25,Benzine,634
1994-01-25,Diesel,80
1994-01-26,Benzine,636
1994-01-26,Diesel,81
1994-01-29,Benzine,637
1994-01-31,Benzine,639
1994-02-01,Benzine,640
1994-02-02,Benzine,641
1994-02-07,Diesel,82
1994-02-07,Benzine,643
1994-02-11,Diesel,83
1994-02-21,Benzine,644
1994-02-25,Benzine,645
1994-02-28,Benzine,646
1994-03-01,Benzine,647
1994-03-03,Benzine,648
1994-03-04,Benzine,649
1994-03-10,Benzine,650
1994-03-11,LPG,21
1994-03-14,Benzine,652
1994-03-15,Benzine,653
1994-03-18,Benzine,654
