Datum tenaamstelling,Brandstof omschrijving,Kenteken
1971-07-05,Benzine,1
1972-08-25,Benzine,2
1973-07-13,Benzine,3
1973-08-14,Benzine,4
1974-04-10,Benzine,5
1974-10-28,Benzine,6
1974-12-24,Benzine,7
1975-06-26,Benzine,8
1975-10-28,Benzine,9
1976-09-14,Benzine,10
1976-12-23,Benzine,11
1977-04-29,Benzine,12
1977-09-28,Benzine,13
1977-09-30,Benzine,14
1977-10-26,Benzine,15
1977-12-22,Benzine,16
1978-09-18,Benzine,18
1978-11-10,Benzine,19
1979-01-03,Benzine,20
1979-01-09,Benzine,21
1979-01-31,Benzine,22
1979-02-01,Benzine,23
1979-06-15,Benzine,24
1979-06-29,Benzine,25
1979-08-28,Benzine,26
1979-08-31,Benzine,27
1979-10-01,Benzine,28
1979-10-11,Benzine,29
1979-12-24,Benzine,30
1980-02-28,Benzine,31
1980-03-05,Benzine,32
1980-04-14,Benzine,33
1980-06-04,Benzine,34
1980-07-08,Benzine,35
1980-09-19,Benzine,36
1980-10-30,Benzine,37
1980-12-22,Benzine,38
1981-02-06,Benzine,39
1981-03-06,Benzine,40
1981-04-01,Benzine,41
1981-04-09,Benzine,42
1981-05-08,LPG,1
1981-06-09,Benzine,43
1981-07-16,Benzine,44
1981-08-10,Benzine,45
1981-09-03,Benzine,46
1981-09-07,Benzine,47
1981-09-28,Benzine,48
1981-10-16,Benzine,49
1981-10-28,Benzine,50
1981-12-10,Benzine,51
1982-01-21,Benzine,52
1982-02-04,Benzine,53
1982-02-09,Benzine,54
1982-02-23,Benzine,55
1982-02-26,Benzine,56
1982-04-13,Benzine,57
1982-06-17,Benzine,58
1982-09-24,Benzine,59
1982-11-23,Benzine,60
1982-12-01,LPG,2
1982-12-02,Benzine,61
1982-12-08,Benzine,62
1983-01-03,Benzine,63
1983-01-27,Benzine,64
1983-02-21,Benzine,66
1983-04-01,Benzine,68
1983-04-14,Benzine,69
1983-04-15,Benzine,70
1983-04-25,Benzine,71
1983-05-06,Benzine,73
1983-05-21,Benzine,74
1983-07-29,Benzine,75
1983-08-24,Benzine,76
