Datum tenaamstelling,Brandstof omschrijving,Kenteken
2009-10-02,Elektriciteit,1
2010-02-05,Elektriciteit,2
2010-02-11,Elektriciteit,3
2010-10-05,Elektriciteit,4
2010-11-03,Elektriciteit,5
2010-12-14,Elektriciteit,6
2011-01-03,Elektriciteit,10
2011-01-18,Elektriciteit,11
2011-04-05,Elektriciteit,12
2011-04-06,Elektriciteit,13
2011-05-19,Elektriciteit,14
2011-07-07,Elektriciteit,15
2011-07-11,Elektriciteit,16
2011-08-31,Elektriciteit,17
2011-11-08,Elektriciteit,18
2011-11-10,Elektriciteit,19
2011-12-13,Elektriciteit,20
2012-01-09,Elektriciteit,21
2012-06-26,Elektriciteit,22
2012-06-30,Elektriciteit,23
2012-08-16,Elektriciteit,24
2012-09-14,Elektriciteit,25
2012-09-30,Elektriciteit,26
2012-10-31,Elektriciteit,27
2012-11-29,Elektriciteit,28
2012-12-12,Elektriciteit,29
2013-12-30,Elektriciteit,30
2014-05-05,Elektriciteit,31
2015-09-16,Elektriciteit,32
2015-09-25,Elektriciteit,33
2015-10-06,Elektriciteit,34
2015-12-31,Elektriciteit,35
2016-01-14,Elektriciteit,36
2016-02-11,Elektriciteit,37
2016-02-16,Elektriciteit,38
2016-03-23,Elektriciteit,39
2016-05-23,Elektriciteit,40
2016-05-26,Elektriciteit,41
2016-06-01,Elektriciteit,42
2016-06-23,Elektriciteit,43
2016-07-12,Elektriciteit,44
2016-09-13,Elektriciteit,45
2016-12-23,Elektriciteit,46
2016-12-27,Elektriciteit,47
2017-02-14,Elektriciteit,48
2017-05-09,Elektriciteit,49
2017-05-19,Elektriciteit,50
2017-06-09,Elektriciteit,51
2017-06-26,Elektriciteit,52
2017-08-31,Elektriciteit,53
2017-09-21,Elektriciteit,54
2017-09-25,Elektriciteit,55
2017-09-26,Elektriciteit,56
2017-09-27,Elektriciteit,62
2017-09-28,Elektriciteit,72
2017-09-29,Elektriciteit,89
2017-09-30,Elektriciteit,104
2017-10-05,Elektriciteit,107
2017-10-06,Elektriciteit,110
2017-10-09,Elektriciteit,114
2017-10-11,Elektriciteit,121
2017-10-12,Elektriciteit,122
2017-10-13,Elektriciteit,128
2017-10-16,Elektriciteit,133
2017-10-17,Elektriciteit,138
2017-10-18,Elektriciteit,141
2017-10-19,Elektriciteit,144
2017-10-20,Elektriciteit,147
2017-10-23,Elektriciteit,153
2017-10-24,Elektriciteit,159
2017-10-25,Elektriciteit,165
2017-10-26,Elektriciteit,175
2017-10-27,Elektriciteit,181
2017-10-30,Elektriciteit,185
2017-10-31,Elektriciteit,189
2017-11-01,Elektriciteit,191
2017-11-02,Elektriciteit,193
2017-11-03,Elektriciteit,202
2017-11-06,Elektriciteit,209
2017-11-07,Elektriciteit,211
2017-11-08,Elektriciteit,221
2017-11-09,Elektriciteit,233
2017-11-10,Elektriciteit,246
2017-11-13,Elektriciteit,254
2017-11-14,Elektriciteit,267
2017-11-15,Elektriciteit,276
2017-11-16,Elektriciteit,285
2017-11-17,Elektriciteit,304
2017-11-18,Elektriciteit,307
2017-11-20,Elektriciteit,315
2017-11-21,Elektriciteit,322
2017-11-22,Elektriciteit,332
2017-11-23,Elektriciteit,342
2017-11-24,Elektriciteit,360
2017-11-25,Elektriciteit,381
2017-11-27,Elektriciteit,393
2017-11-28,Elektriciteit,408
2017-11-29,Elektriciteit,420
2017-11-30,Elektriciteit,442
2017-12-01,Elektriciteit,460
2017-12-02,Elektriciteit,487
2017-12-04,Elektriciteit,499
2017-12-05,Elektriciteit,512
2017-12-06,Elektriciteit,526
2017-12-07,Elektriciteit,539
2017-12-08,Elektriciteit,566
2017-12-09,Elektriciteit,585
2017-12-11,Elektriciteit,590
2017-12-12,Elektriciteit,611
2017-12-13,Elektriciteit,632
2017-12-14,Elektriciteit,667
2017-12-15,Elektriciteit,707
2017-12-16,Elektriciteit,735
2017-12-18,Elektriciteit,749
2017-12-19,Elektriciteit,777
2017-12-20,Elektriciteit,795
2017-12-21,Elektriciteit,826
2017-12-22,Elektriciteit,868
2017-12-23,Elektriciteit,906
2017-12-27,Elektriciteit,915
2017-12-28,Elektriciteit,933
2017-12-29,Elektriciteit,948
2018-01-02,Elektriciteit,961
2018-01-03,Elektriciteit,970
2018-01-04,Elektriciteit,973
2018-01-05,Elektriciteit,978
2018-01-09,Elektriciteit,980
2018-01-12,Elektriciteit,983
2018-01-16,Elektriciteit,984
2018-01-17,Elektriciteit,986
2018-01-23,Elektriciteit,987
2018-01-24,Elektriciteit,990
2018-01-25,Elektriciteit,997
2018-01-26,Elektriciteit,1005
2018-01-30,Elektriciteit,1006
