Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2008-01-05,2,2,2,2,2
2008-01-17,1,1,1,1,1
2008-01-18,1,1,1,1,1
2008-01-29,1,1,1,1,1
2008-03-20,1,1,1,1,1
2008-06-16,1,1,1,1,1
2008-07-19,1,1,1,1,1
2008-08-21,1,1,1,1,1
2008-08-26,1,1,1,1,1
2009-01-06,1,1,1,1,1
2009-02-11,1,1,1,1,1
2009-02-26,1,1,1,1,1
2009-04-03,1,1,1,1,1
2009-04-23,1,1,1,1,1
2009-04-24,1,1,1,1,1
2009-04-28,1,1,1,1,1
2009-05-14,1,1,1,1,1
2009-05-28,1,1,1,1,1
2009-06-12,1,1,1,1,1
2009-06-13,1,1,1,1,1
2009-06-18,1,1,1,1,1
2009-06-19,1,1,1,1,1
2009-06-20,1,1,1,1,1
2009-06-25,1,1,1,1,1
2009-07-09,1,1,1,1,1
2009-07-17,1,1,1,1,1
2009-07-23,1,1,1,1,1
2009-07-29,1,1,1,1,1
2009-07-30,1,1,1,1,1
2009-08-01,1,1,1,1,1
2009-08-11,2,2,2,2,2
2009-08-12,1,1,1,1,1
2009-08-14,1,1,1,1,1
2009-08-19,1,1,1,1,1
2009-08-21,2,2,2,2,2
2009-08-28,2,2,2,2,2
2009-08-31,1,1,1,1,1
2009-09-12,1,1,1,1,1
2009-09-18,1,1,1,1,1
2009-09-28,1,1,1,1,1
2009-10-01,1,1,1,1,1
2009-10-02,1,1,1,1,1
2009-10-07,1,1,1,1,1
2009-10-19,1,1,1,1,1
2009-10-22,2,2,2,2,2
2009-11-07,1,1,1,1,1
2010-01-02,1,1,1,1,1
2010-01-20,1,1,1,1,1
2010-01-26,1,1,1,1,1
2010-01-30,1,1,1,1,1
2010-02-06,1,1,1,1,1
2010-02-12,1,1,1,1,1
2010-02-26,1,1,1,1,1
2010-03-11,1,1,1,1,1
2010-03-12,1,1,1,1,1
2010-04-02,1,1,1,1,1
2010-05-06,1,1,1,1,1
2010-05-10,1,1,1,1,1
2010-05-21,1,1,1,1,1
2010-05-27,1,1,1,1,1
2010-06-22,1,1,1,1,1
2010-06-30,1,1,1,1,1
2010-07-08,1,1,1,1,1
2010-07-23,1,1,1,1,1
2010-08-13,1,1,1,1,1
2010-08-17,1,1,1,1,1
2010-08-26,1,1,1,1,1
2010-09-07,1,1,1,1,1
2010-09-09,1,1,1,1,1
2010-09-23,1,1,1,1,1
2010-09-30,1,1,1,1,1
2010-10-01,1,1,1,1,1
2010-10-25,1,1,1,1,1
2010-10-30,2,2,2,2,2
2010-12-17,1,1,1,1,1
2010-12-21,1,1,1,1,1
2011-01-07,2,2,2,2,2
2011-01-21,1,1,1,1,1
2011-02-04,1,1,1,1,1
2011-02-10,1,1,1,1,1
2011-02-23,1,1,1,1,1
2011-03-03,1,1,1,1,1
2011-03-07,1,1,1,1,1
2011-03-12,1,1,1,1,1
2011-03-18,1,1,1,1,1
2011-03-25,1,1,1,1,1
2011-03-30,1,1,1,1,1
2011-04-02,1,1,1,1,1
2011-04-13,1,1,1,1,1
2011-04-14,1,1,1,1,1
2011-04-15,2,2,2,2,2
2011-04-21,1,1,1,1,1
2011-04-23,1,1,1,1,1
2011-05-05,1,1,1,1,1
2011-05-10,1,1,1,1,1
2011-05-11,1,1,1,1,1
2011-05-19,1,1,1,1,1
2011-05-20,1,1,1,1,1
2011-05-24,1,1,1,1,1
2011-05-25,2,2,2,2,2
2011-05-27,1,1,1,1,1
2011-05-28,1,1,1,1,1
2011-05-31,1,1,1,1,1
2011-06-01,1,1,1,1,1
2011-06-09,1,1,1,1,1
2011-06-15,2,2,2,2,2
2011-06-16,1,1,1,1,1
2011-06-18,1,1,1,1,1
2011-06-23,1,1,1,1,1
2011-06-24,1,1,1,1,1
2011-06-29,1,1,1,1,1
2011-07-01,1,1,1,1,1
2011-07-08,1,1,1,1,1
2011-07-12,1,1,1,1,1
2011-07-20,1,1,1,1,1
2011-07-27,1,1,1,1,1
2011-08-11,1,1,1,1,1
2011-08-12,1,1,1,1,1
2011-08-16,1,1,1,1,1
2011-08-18,1,1,1,1,1
2011-08-19,1,1,1,1,1
2011-09-01,1,1,1,1,1
2011-09-08,1,1,1,1,1
2011-09-16,1,1,1,1,1
2011-09-20,1,1,1,1,1
2011-09-22,1,1,1,1,1
2011-09-24,1,1,1,1,1
2011-09-28,1,1,1,1,1
2011-09-30,1,1,1,1,1
2011-10-03,1,1,1,1,1
2011-10-04,1,1,1,1,1
2011-10-10,1,1,1,1,1
2011-10-21,1,1,1,1,1
2011-10-22,1,1,1,1,1
2011-10-28,1,1,1,1,1
2011-11-01,1,1,1,1,1
2011-11-03,2,2,2,2,2
2011-11-08,1,1,1,1,1
2011-11-09,1,1,1,1,1
2011-11-17,1,1,1,1,1
2011-11-18,2,2,2,2,2
2011-11-26,1,1,1,1,1
2011-11-30,3,3,3,3,3
2011-12-01,1,1,1,1,1
2011-12-05,1,1,1,1,1
2011-12-22,1,1,1,1,1
2011-12-30,1,1,1,1,1
2012-01-02,1,1,1,1,1
2012-01-03,1,1,1,1,1
2012-01-04,1,1,1,1,1
2012-01-05,1,1,1,1,1
2012-01-09,1,1,1,1,1
2012-01-11,1,1,1,1,1
2012-01-13,2,2,2,2,2
2012-01-16,1,1,1,1,1
2012-01-18,1,1,1,1,1
2012-01-19,1,1,1,1,1
2012-01-27,2,2,2,2,2
2012-02-02,2,2,2,2,2
2012-02-08,1,1,1,1,1
2012-02-09,1,1,1,1,1
2012-02-17,1,1,1,1,1
2012-02-24,1,1,1,1,1
2012-02-27,1,1,1,1,1
2012-03-29,1,1,1,1,1
2012-03-30,2,2,2,2,2
2012-04-06,1,1,1,1,1
2012-04-13,1,1,1,1,1
2012-04-14,1,1,1,1,1
2012-04-16,1,1,1,1,1
2012-04-18,1,1,1,1,1
2012-04-20,1,1,1,1,1
2012-04-24,1,1,1,1,1
2012-05-03,1,1,1,1,1
2012-05-04,3,3,3,3,3
2012-05-05,1,1,1,1,1
2012-05-09,1,1,1,1,1
2012-05-11,2,2,2,2,2
2012-05-15,1,1,1,1,1
2012-05-21,1,1,1,1,1
2012-05-22,1,1,1,1,1
2012-05-25,1,1,1,1,1
2012-06-01,2,2,2,2,2
2012-06-07,1,1,1,1,1
2012-06-13,1,1,1,1,1
2012-06-15,1,1,1,1,1
2012-06-23,1,1,1,1,1
2012-06-28,1,1,1,1,1
2012-06-29,1,1,1,1,1
2012-07-05,1,1,1,1,1
2012-07-13,1,1,1,1,1
2012-07-14,1,1,1,1,1
2012-07-18,1,1,1,1,1
2012-07-19,1,1,1,1,1
2012-07-20,1,1,1,1,1
2012-07-26,1,1,1,1,1
2012-07-28,1,1,1,1,1
2012-08-03,1,1,1,1,1
2012-08-09,1,1,1,1,1
2012-08-15,1,1,1,1,1
2012-08-17,1,1,1,1,1
2012-08-18,2,2,2,2,2
2012-08-22,1,1,1,1,1
2012-08-31,1,1,1,1,1
2012-09-07,1,1,1,1,1
2012-09-08,1,1,1,1,1
2012-09-13,1,1,1,1,1
2012-09-14,1,1,1,1,1
2012-09-18,1,1,1,1,1
2012-09-28,1,1,1,1,1
2012-09-29,1,1,1,1,1
2012-10-05,1,1,1,1,1
2012-10-13,3,3,3,3,3
2012-10-19,1,1,1,1,1
2012-10-24,1,1,1,1,1
2012-10-29,1,1,1,1,1
2012-11-07,1,1,1,1,1
2012-11-09,1,1,1,1,1
2012-11-10,1,1,1,1,1
2012-11-15,1,1,1,1,1
2012-11-16,1,1,1,1,1
2012-11-17,1,1,1,1,1
2012-11-22,1,1,1,1,1
2012-11-30,1,1,1,1,1
2012-12-03,1,1,1,1,1
2012-12-15,1,1,1,1,1
2012-12-21,1,1,1,1,1
2012-12-31,1,1,1,1,1
2013-01-11,1,1,1,1,1
2013-01-15,1,1,1,1,1
2013-01-17,1,1,1,1,1
2013-01-18,2,2,2,2,2
2013-01-23,1,1,1,1,1
2013-01-25,1,1,1,1,1
2013-01-26,1,1,1,1,1
2013-02-02,1,1,1,1,1
2013-02-22,1,1,1,1,1
2013-02-25,2,2,2,2,2
2013-02-27,1,1,1,1,1
2013-03-02,2,2,2,2,2
2013-03-13,1,1,1,1,1
2013-03-14,3,3,3,3,3
2013-03-22,3,3,3,3,3
2013-03-23,2,2,2,2,2
