Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
1915-02-22,1,1,1,1,1
1952-10-18,1,1,1,1,1
1953-01-22,1,1,1,1,1
1953-09-08,1,1,1,1,1
1954-01-01,1,1,1,1,1
1955-08-18,1,1,1,1,1
1955-09-07,1,1,1,1,1
1956-06-30,1,1,1,1,1
1956-07-28,1,1,1,1,1
1956-12-10,1,1,1,1,1
1957-11-15,1,1,1,1,1
1959-05-15,1,1,1,1,1
1959-07-22,1,1,1,1,1
1959-12-23,1,1,1,1,1
1960-01-07,1,1,1,1,1
1960-05-14,1,1,1,1,0
1960-06-30,1,1,1,1,1
1960-10-03,1,1,1,1,1
1960-10-05,1,1,1,1,1
1961-05-24,1,1,1,1,1
1961-10-19,1,1,1,1,1
1961-11-13,1,1,1,1,1
1961-12-12,1,1,1,1,1
1962-07-23,1,1,1,1,1
1962-10-25,1,1,1,1,1
1963-02-06,1,1,1,1,1
1963-03-29,1,1,1,1,1
1963-05-28,1,1,1,1,1
1963-07-11,1,1,1,1,1
1963-09-11,1,1,1,1,1
1963-10-11,1,1,1,1,1
1963-11-11,1,1,1,1,1
1964-02-17,1,1,1,1,1
1964-05-27,1,1,1,1,1
1964-08-31,1,1,1,1,1
1964-11-17,2,2,2,2,2
1964-11-20,1,1,1,1,1
1965-03-16,1,1,1,1,1
1965-04-21,1,1,1,1,0
1965-05-12,1,1,1,1,1
1965-06-16,1,1,1,1,1
1965-08-31,1,1,1,1,1
1965-09-17,1,1,1,1,1
1965-10-11,1,1,1,1,1
1965-10-15,1,1,1,1,1
1965-12-15,1,1,1,1,1
1966-01-03,1,1,1,1,1
1966-03-29,2,2,2,2,2
1966-04-13,1,1,1,1,1
1966-05-04,1,1,1,1,1
1966-05-10,1,1,1,1,1
1966-08-22,1,1,1,1,1
1966-08-29,1,1,1,1,1
1966-09-21,1,1,1,1,1
1966-10-07,1,1,1,1,1
1966-10-25,1,1,1,1,1
1967-01-18,1,1,1,1,1
1967-03-29,1,1,1,1,1
1967-04-07,1,1,1,1,1
1967-04-21,2,2,2,2,2
1967-05-19,1,1,1,1,1
1967-06-29,1,1,1,1,1
1967-07-14,1,1,1,1,1
1967-09-18,1,1,1,1,1
1967-09-19,1,1,1,1,1
1967-09-25,1,1,1,1,1
1967-10-23,1,1,1,1,1
1967-11-02,1,1,1,1,1
1967-11-17,1,1,1,1,1
1967-11-27,1,1,1,1,1
1967-12-13,1,1,1,1,1
1968-01-09,1,1,1,1,1
1968-02-12,1,1,1,1,1
1968-02-16,1,1,1,1,1
1968-02-19,1,1,1,1,1
1968-02-20,1,1,1,1,1
1968-02-21,1,1,1,1,1
