Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2001-01-23,1,1,1,1,1
2005-01-12,1,1,1,1,1
2006-03-23,1,1,1,1,1
2006-08-25,1,1,1,1,1
2006-10-27,1,1,1,1,1
2007-03-14,1,1,1,1,1
2007-03-17,1,1,1,1,1
2007-04-13,1,1,1,1,1
2007-05-11,2,2,2,2,2
2007-06-20,1,1,1,1,1
2007-09-25,1,1,1,1,1
2007-12-07,1,1,1,1,1
2007-12-13,1,1,1,1,1
2008-01-03,1,1,1,1,1
2008-01-10,4,4,4,4,4
2008-02-04,1,1,1,1,1
2008-02-08,1,1,1,1,1
2008-02-12,1,1,1,1,1
2008-02-14,1,1,1,1,1
2008-02-19,1,1,1,1,1
2008-03-05,2,2,2,2,2
2008-03-28,1,1,1,1,1
2008-04-04,1,1,1,1,1
2008-04-08,2,2,2,2,2
2008-04-29,1,1,1,1,1
2008-05-09,3,3,3,3,3
2008-05-29,2,2,2,2,2
2008-06-10,1,1,1,1,1
2008-07-22,1,1,1,1,1
2008-09-09,1,1,1,1,1
2008-09-30,1,1,1,1,1
2008-10-07,1,1,1,1,1
2008-11-25,1,1,1,1,1
2008-12-12,1,1,1,1,1
2008-12-24,3,3,3,3,3
2009-01-19,1,1,1,1,1
2009-01-21,2,2,2,2,2
2009-01-28,1,1,1,1,1
2009-02-13,1,1,1,1,1
2009-03-02,1,1,1,1,1
2009-03-05,1,1,1,1,1
2009-03-11,1,1,1,1,1
2009-03-12,1,1,1,1,1
2009-03-13,2,2,2,2,2
2009-03-16,1,1,1,1,1
2009-03-19,1,1,1,1,1
2009-03-25,4,4,4,4,4
2009-04-15,1,1,1,1,1
2009-04-23,1,1,1,1,1
2009-05-05,1,1,1,1,1
2009-05-08,1,1,1,1,1
2009-06-26,1,1,1,1,1
2009-06-29,1,1,1,1,1
2009-06-30,1,1,1,1,1
2009-07-01,2,2,2,2,2
2009-07-06,1,1,1,1,1
2009-07-10,4,4,4,4,4
2009-07-23,3,3,3,3,3
2009-07-27,1,1,1,1,1
2009-07-31,1,1,1,1,1
2009-08-21,2,2,2,2,2
2009-08-31,1,1,1,1,1
2009-09-04,1,1,1,1,1
2009-09-11,1,1,1,1,1
2009-09-25,1,1,1,1,1
2009-09-30,1,1,1,1,1
2009-10-06,1,1,1,1,1
2009-10-22,1,1,1,1,1
2009-10-26,1,1,1,1,1
2009-11-26,1,1,1,1,1
2009-11-30,1,1,1,1,1
2009-12-02,5,5,5,5,5
2009-12-14,1,1,1,1,1
2009-12-30,3,3,3,3,3
2010-01-12,1,1,1,1,1
2010-01-13,3,3,3,3,3
2010-01-28,2,2,2,2,2
2010-02-01,1,1,1,1,1
2010-02-03,2,2,2,2,2
2010-02-05,1,1,1,1,1
2010-02-11,2,2,2,2,2
2010-02-12,1,1,1,1,1
2010-02-15,1,1,1,1,1
2010-03-15,3,3,3,3,3
2010-03-22,2,2,2,2,2
