Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
1963-09-04,1,1,1,0,1
1964-10-21,1,1,1,1,1
1964-12-01,1,1,1,1,1
1965-01-22,1,1,1,1,1
1966-08-26,1,1,1,1,1
1968-12-24,1,1,1,1,1
1969-02-18,1,1,1,1,1
1969-04-21,1,1,1,1,1
1969-11-03,1,1,1,1,1
1970-01-30,1,1,1,1,1
1970-02-05,1,1,1,1,1
1971-04-16,1,1,1,1,1
1972-02-01,1,1,1,1,1
1972-06-26,1,1,1,1,1
1972-07-04,1,1,1,1,1
1972-08-07,1,1,1,1,1
1972-11-03,1,1,1,1,1
1973-02-20,1,1,1,1,1
1973-05-11,1,1,1,1,1
1973-05-23,1,1,1,1,1
1973-08-18,1,1,1,1,1
1973-10-16,1,1,1,1,1
1974-03-20,1,1,1,1,1
1974-10-15,1,1,1,1,1
1974-10-30,1,1,1,1,1
1974-11-21,1,1,1,1,1
1975-02-27,1,1,1,1,1
1975-03-18,1,1,1,1,1
1975-05-06,1,1,1,1,1
1975-06-05,1,1,1,1,1
1975-07-02,1,1,1,1,1
1975-10-03,1,1,1,1,1
1975-10-09,1,1,1,1,1
1975-10-17,1,1,1,1,1
1975-10-24,1,1,1,1,1
1975-12-02,1,1,1,1,1
1975-12-23,1,1,1,1,1
1976-01-01,1,1,1,1,1
1976-02-12,1,1,1,1,1
1976-03-09,1,1,1,1,1
1976-03-30,1,1,1,1,1
1976-07-20,1,1,1,1,1
1976-08-19,1,1,1,1,1
1976-09-08,1,1,1,1,1
1976-09-15,1,1,1,1,1
1976-11-16,2,2,2,2,2
1976-12-01,1,1,1,1,1
1977-01-13,1,1,1,1,1
1977-01-18,1,1,1,1,1
1977-02-14,1,1,1,1,1
1977-04-14,1,1,1,1,1
1977-06-03,1,1,1,1,1
1977-07-26,1,1,1,1,1
1977-08-01,1,1,1,1,1
1977-08-09,1,1,1,1,1
1977-08-12,1,1,1,1,1
1977-08-17,1,1,1,1,1
1977-09-08,1,1,1,1,1
1977-09-09,1,1,1,1,1
1977-09-22,1,1,1,1,1
1977-10-28,1,1,1,1,1
1978-01-17,1,1,1,1,1
1978-01-30,1,1,1,1,1
1978-02-03,1,1,1,1,1
1978-02-10,1,1,1,1,1
1978-02-21,1,1,1,1,1
1978-03-09,1,1,1,1,1
1978-03-10,1,1,1,1,1
1978-03-23,1,1,1,1,0
1978-04-28,1,1,1,1,1
1978-06-30,1,1,1,1,1
1978-07-27,1,1,1,1,1
1978-08-08,1,1,1,1,1
1978-08-16,1,1,1,1,1
1978-09-05,1,1,1,1,1
1978-09-08,2,2,2,2,2
1978-09-25,1,1,1,1,1
1978-10-05,2,2,2,2,2
1978-10-09,1,1,1,1,0
1978-10-12,1,1,1,1,1
1978-10-23,1,1,1,1,1
1978-11-11,1,1,1,1,1
1978-11-15,1,1,1,1,1
1978-11-20,1,1,1,1,1
1978-12-22,1,1,1,1,1
1978-12-29,1,1,1,1,1
1979-01-02,1,1,1,1,1
1979-01-09,1,1,1,1,1
1979-01-18,2,2,2,2,2
1979-03-12,1,1,1,1,1
1979-03-27,1,1,1,1,1
1979-04-10,1,1,1,1,1
1979-05-04,1,1,1,1,1
