Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
1983-12-05,1,1,1,1,1
1992-02-17,1,1,1,1,1
1992-03-17,1,1,1,1,1
1997-12-01,1,1,1,1,1
2000-08-25,1,1,1,1,1
2001-01-10,1,1,1,1,1
2001-01-24,1,1,1,1,1
2001-01-26,1,1,1,1,1
2001-03-16,1,1,1,1,1
2001-08-18,1,1,1,1,1
2002-10-31,1,1,1,1,1
2003-02-21,1,1,1,1,1
2003-11-29,1,1,1,1,1
2004-01-19,1,1,1,1,1
2004-03-05,1,1,1,1,1
2004-03-19,1,1,1,1,1
2004-04-01,1,1,1,1,1
2004-04-07,1,1,1,1,1
2004-06-09,1,1,1,1,1
2004-07-30,1,1,1,1,1
2004-08-06,1,1,1,1,1
2004-08-20,1,1,1,1,1
2004-08-27,1,1,1,1,1
2004-08-31,1,1,1,1,1
2004-09-09,1,1,1,1,1
2004-09-21,1,1,1,1,1
2004-10-06,1,1,1,1,1
2004-10-08,1,1,1,1,1
2004-10-14,2,2,2,2,2
2004-10-15,1,1,1,1,1
2004-10-16,1,1,1,1,1
2004-10-20,1,1,1,1,1
2004-10-29,3,3,3,3,3
2004-11-02,2,2,2,2,2
2004-11-04,1,1,1,1,1
2004-12-07,1,1,1,1,1
2004-12-17,1,1,1,1,1
2005-01-03,1,1,1,1,1
2005-01-06,1,1,1,1,1
2005-01-08,1,1,1,1,1
2005-01-10,1,1,1,1,1
2005-01-12,1,1,1,1,1
2005-01-14,2,2,2,2,2
2005-01-18,1,1,1,1,1
2005-01-19,1,1,1,1,1
2005-01-20,1,1,1,1,1
2005-01-21,1,1,1,1,1
2005-01-27,1,1,1,1,1
2005-02-02,1,1,1,1,1
2005-02-04,1,1,1,1,1
2005-02-09,1,1,1,1,1
2005-02-14,1,1,1,1,1
2005-02-15,1,1,1,1,1
2005-02-17,1,1,1,1,1
2005-03-01,1,1,1,1,1
2005-03-11,3,3,3,3,3
2005-03-19,1,1,1,1,1
2005-03-25,1,1,1,1,1
2005-04-06,1,1,1,1,1
2005-04-08,1,1,1,1,1
2005-04-15,1,1,1,1,1
2005-04-20,1,1,1,1,1
2005-04-21,1,1,1,1,1
2005-05-09,1,1,1,1,1
2005-05-10,1,1,1,1,1
2005-05-12,1,1,1,1,1
2005-05-13,1,1,1,1,1
2005-05-17,1,1,1,1,1
2005-05-26,1,1,1,1,1
2005-05-27,1,1,1,1,1
2005-05-31,1,1,1,1,1
2005-06-02,1,1,1,1,1
2005-06-03,1,1,1,1,1
2005-06-09,1,1,1,1,1
2005-06-23,2,2,2,2,2
2005-06-27,1,1,1,1,1
2005-06-30,2,2,2,2,2
2005-07-01,1,1,1,1,1
2005-07-02,1,1,1,1,1
2005-07-07,1,1,1,1,1
2005-07-11,2,2,2,2,2
2005-07-20,1,1,1,1,1
2005-07-26,1,1,1,1,1
2005-07-30,1,1,1,1,1
2005-08-08,1,1,1,1,1
2005-08-18,1,1,1,1,1
2005-08-22,1,1,1,1,1
2005-08-26,1,1,1,1,1
2005-08-27,1,1,1,1,1
2005-09-06,1,1,1,1,1
2005-09-22,1,1,1,1,1
2005-09-24,1,1,1,1,1
2005-10-01,1,1,1,1,1
2005-10-06,1,1,1,1,1
2005-10-07,1,1,1,1,1
2005-10-14,2,2,2,2,2
2005-10-15,1,1,1,1,1
2005-10-18,1,1,1,1,1
2005-10-21,2,2,2,2,2
2005-10-26,2,2,2,2,2
2005-10-28,1,1,1,1,1
2005-11-03,2,2,2,2,2
2005-11-07,1,1,1,1,1
2005-11-09,2,2,2,2,2
2005-11-11,1,1,1,1,1
2005-11-26,1,1,1,1,1
2005-12-02,1,1,1,1,1
2005-12-03,1,1,1,1,1
2005-12-05,1,1,1,1,1
2005-12-06,1,1,1,1,1
2005-12-07,1,1,1,1,1
2005-12-09,1,1,1,1,1
2006-01-03,4,4,4,4,4
2006-01-04,1,1,1,1,1
2006-01-05,2,2,2,2,2
2006-01-06,1,1,1,1,1
2006-01-12,1,1,1,1,1
2006-01-13,1,1,1,1,1
2006-01-19,1,1,1,1,1
2006-01-20,2,2,2,2,2
2006-01-24,1,1,1,1,1
2006-02-01,1,1,1,1,1
2006-02-02,1,1,1,1,1
2006-02-13,1,1,1,1,1
2006-02-14,1,1,1,1,1
2006-02-15,1,1,1,1,1
2006-02-16,2,2,2,2,2
2006-02-22,2,2,2,2,2
2006-02-24,1,1,1,1,1
2006-02-28,2,2,2,2,2
2006-03-03,1,1,1,1,1
2006-03-07,1,1,1,1,1
2006-03-08,1,1,1,1,1
2006-03-09,2,2,2,2,2
2006-03-15,1,1,1,1,1
2006-03-16,1,1,1,1,1
2006-03-20,1,1,1,1,1
2006-03-23,1,1,1,1,1
2006-03-24,1,1,1,1,1
2006-03-31,1,1,1,1,1
2006-04-04,1,1,1,1,1
2006-04-06,1,1,1,1,1
2006-04-07,1,1,1,1,1
2006-04-08,1,1,1,1,1
2006-04-10,2,2,2,2,2
2006-04-14,2,2,2,2,2
2006-04-18,1,1,1,1,1
2006-04-20,1,1,1,1,1
2006-04-21,3,3,3,3,3
2006-04-26,1,1,1,1,1
2006-04-27,1,1,1,1,1
2006-04-28,1,1,1,1,1
2006-05-05,1,1,1,1,1
2006-05-08,1,1,1,1,1
2006-05-11,1,1,1,1,1
2006-05-16,2,2,2,2,2
2006-05-24,1,1,1,1,1
2006-05-26,1,1,1,1,1
2006-05-30,1,1,1,1,1
2006-06-02,1,1,1,1,1
2006-06-09,2,2,2,2,2
2006-06-12,2,2,2,2,2
2006-06-14,1,1,1,1,1
2006-06-15,1,1,1,1,1
2006-06-16,1,1,1,1,1
2006-06-19,1,1,1,1,1
2006-06-20,1,1,1,1,1
2006-06-22,2,2,2,2,2
2006-06-24,1,1,1,1,1
2006-06-28,2,2,2,2,2
2006-06-29,2,2,2,2,2
2006-06-30,2,2,2,2,2
2006-07-03,1,1,1,1,1
2006-07-04,1,1,1,1,1
2006-07-25,1,1,1,1,1
2006-07-27,1,1,1,1,1
2006-07-28,1,1,1,1,1
2006-07-31,1,1,1,1,1
2006-08-04,1,1,1,1,1
2006-08-05,1,1,1,1,1
2006-08-07,1,1,1,1,1
2006-08-11,1,1,1,1,1
2006-08-16,1,1,1,1,1
2006-08-28,1,1,1,1,1
2006-08-31,1,1,1,1,1
2006-09-08,2,2,2,2,2
2006-09-13,1,1,1,1,1
2006-09-22,1,1,1,1,1
2006-10-05,1,1,1,1,1
2006-10-13,1,1,1,1,1
2006-10-20,1,1,1,1,1
2006-10-25,1,1,1,1,1
2006-10-30,1,1,1,1,1
2006-11-01,1,1,1,1,1
2006-11-08,1,1,1,1,1
2006-11-14,1,1,1,1,1
2006-11-17,1,1,1,1,1
2006-11-18,1,1,1,1,1
2006-11-21,1,1,1,1,1
2006-11-24,1,1,1,1,1
2006-11-27,1,1,1,1,1
2006-12-15,1,1,1,1,1
2006-12-20,1,1,1,1,1
2006-12-22,1,1,1,1,1
2007-01-04,2,2,2,2,2
2007-01-09,1,1,1,1,1
2007-01-10,1,1,1,1,1
2007-01-15,1,1,1,1,1
2007-01-17,1,1,1,1,1
2007-01-24,1,1,1,1,1
2007-01-26,1,1,1,1,1
2007-01-27,1,1,1,1,1
2007-02-05,1,1,1,1,1
2007-02-13,1,1,1,1,1
2007-02-21,1,1,1,1,1
2007-02-23,2,2,2,2,2
2007-03-02,1,1,1,1,1
2007-03-06,1,1,1,1,1
