Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2011-03-22,1,1,1,1,1
2012-04-17,1,1,1,1,1
2012-05-11,1,1,1,1,1
2013-02-19,1,1,1,1,1
2013-08-31,1,1,1,1,1
2013-10-30,5,5,5,5,5
2014-05-30,3,3,3,3,3
2014-06-02,1,1,1,1,1
2014-06-26,2,2,2,2,2
2014-08-12,1,1,1,1,1
2015-02-23,1,1,1,1,1
2015-03-16,2,2,2,2,2
2015-06-17,1,1,1,1,1
2015-09-28,1,1,1,1,1
2015-11-23,1,1,1,1,1
2015-12-08,4,4,4,4,4
2016-02-12,1,1,1,1,1
2016-02-19,1,1,1,1,1
2016-03-01,1,1,1,1,1
2016-03-10,1,1,1,1,1
2016-03-24,2,2,2,2,2
2016-03-31,3,3,3,3,3
2016-04-07,3,3,3,3,3
2016-04-08,2,2,2,2,2
2016-04-13,1,1,1,1,1
2016-04-25,2,2,2,2,2
2016-05-10,1,1,1,1,1
2016-05-19,1,1,1,1,1
2016-06-16,1,1,1,1,1
2016-07-20,1,1,1,1,1
2016-09-12,1,1,1,1,1
2016-10-21,2,2,2,2,2
2016-10-31,1,1,1,1,1
2016-12-02,1,1,1,1,1
2016-12-12,1,1,1,1,1
2016-12-16,3,3,3,3,3
2016-12-20,1,1,1,1,1
2016-12-22,2,2,2,2,2
2016-12-28,2,2,2,2,2
2016-12-30,1,1,1,1,1
2017-01-04,1,1,1,1,1
2017-01-06,1,1,1,1,1
2017-01-09,1,1,1,1,1
2017-01-16,2,2,2,2,2
2017-01-19,2,2,2,2,2
2017-02-13,1,1,1,1,1
2017-04-06,1,1,1,1,1
2017-04-12,1,1,1,1,1
2017-04-26,1,1,1,1,1
2017-05-15,11,11,11,11,11
2017-05-26,1,1,1,1,1
2017-06-29,1,1,1,1,1
2017-07-04,2,2,2,2,2
2017-07-05,1,1,1,1,1
2017-07-07,1,1,1,1,1
2017-07-11,3,3,3,3,3
2017-07-12,1,1,1,1,1
2017-07-17,1,1,1,1,1
2017-07-25,1,1,1,1,1
2017-08-18,1,1,1,1,1
2017-09-07,1,1,1,1,1
2017-09-14,1,1,1,1,1
2017-10-10,1,1,1,1,1
2017-10-18,1,1,1,1,1
2017-11-08,2,2,2,2,2
2017-11-10,1,1,1,1,1
2017-11-20,10,10,10,10,10
2017-11-21,3,3,3,3,3
2017-11-22,2,2,2,2,2
2017-11-29,2,2,2,2,2
2017-12-13,4,4,4,4,4
2017-12-15,3,3,3,3,3
2017-12-18,2,2,2,2,2
2017-12-19,2,2,2,2,2
2017-12-20,2,2,2,2,2
2018-01-04,3,3,3,3,3
2018-01-19,1,1,1,1,1
2018-01-31,5,5,5,5,5
2018-02-23,2,2,2,2,2
2018-02-26,1,1,1,1,1
2018-04-26,1,1,1,1,1
2018-05-09,2,2,2,2,2
2018-05-16,1,1,1,1,1
2018-05-24,1,1,1,1,1
2018-05-28,1,1,1,1,1
2018-06-20,1,1,1,1,1
2018-06-26,1,1,1,1,1
2018-06-29,1,1,1,1,1
2018-06-30,1,1,1,1,1
2018-07-04,1,1,1,1,1
2018-07-05,1,1,1,1,1
2018-07-06,4,4,4,4,4
2018-07-12,1,1,1,1,1
2018-07-18,1,1,1,1,1
2018-07-20,2,2,2,2,2
2018-07-23,1,1,1,1,1
2018-07-27,1,1,1,1,1
2018-08-01,1,1,1,1,1
2018-08-08,2,2,2,2,2
2018-08-13,1,1,1,1,1
2018-08-16,1,1,1,1,1
2018-08-20,1,1,1,1,1
2018-08-23,6,6,6,6,6
2018-08-27,1,1,1,1,1
2018-09-17,1,1,1,1,1
2018-09-18,1,1,1,1,1
2018-09-20,1,1,1,1,1
2018-09-24,1,1,1,1,1
2018-09-27,3,3,3,3,3
2018-10-01,1,1,1,1,1
2018-10-10,2,2,2,2,2
2018-10-11,1,1,1,1,1
2018-10-17,1,1,1,1,1
2018-10-18,6,6,6,6,6
2018-10-22,9,9,9,9,9
2018-10-25,1,1,1,1,1
2018-10-31,1,1,1,1,1
2018-11-08,1,1,1,1,1
2018-11-15,3,3,3,3,3
2018-11-22,1,1,1,1,1
2018-11-26,2,2,2,2,2
2018-11-27,1,1,1,1,1
2018-11-30,2,2,2,2,2
2018-12-03,1,1,1,1,1
2018-12-10,1,1,1,1,1
2019-01-02,15,15,15,15,15
2019-01-03,1,1,1,1,1
2019-01-07,4,4,4,4,4
2019-01-15,3,3,3,3,3
2019-01-21,2,2,2,2,2
2019-01-22,3,3,3,3,3
2019-01-25,2,2,2,2,2
2019-02-15,1,1,1,1,1
2019-02-18,1,1,1,1,1
2019-02-21,1,1,1,1,1
2019-02-27,2,2,2,2,2
2019-03-01,5,5,5,5,5
2019-03-06,1,1,1,1,1
2019-03-07,1,1,1,1,1
2019-03-11,2,2,2,2,2
2019-03-15,2,2,2,2,2
2019-03-21,3,3,3,3,3
2019-04-01,9,9,9,9,9
2019-04-08,2,2,2,2,2
2019-04-10,1,1,1,1,1
2019-04-15,3,3,3,3,3
2019-04-25,1,1,1,1,1
2019-04-30,2,2,2,2,2
2019-05-08,1,1,1,1,1
2019-05-10,1,1,1,1,1
2019-05-14,2,2,2,2,2
2019-05-15,1,1,1,1,1
2019-05-17,2,2,2,2,2
2019-05-20,1,1,1,1,1
2019-05-23,1,1,1,1,1
2019-05-24,2,2,2,2,2
2019-05-28,1,1,1,1,1
2019-06-03,1,1,1,1,1
2019-06-05,1,1,1,1,1
2019-06-06,1,1,1,1,1
2019-06-07,1,1,1,1,1
2019-06-11,2,2,2,2,2
2019-06-13,9,9,9,9,9
2019-06-17,1,1,1,1,1
2019-06-25,1,1,1,1,1
2019-06-27,2,2,2,2,2
2019-07-01,1,1,1,1,1
2019-07-08,1,1,1,1,1
2019-07-10,1,1,1,1,1
2019-07-16,2,2,2,2,2
2019-07-18,1,1,1,1,1
2019-07-23,1,1,1,1,1
2019-08-13,2,2,2,2,2
2019-08-19,1,1,1,1,1
2019-08-27,3,3,3,3,3
2019-08-29,2,2,2,2,2
2019-08-30,2,2,2,2,2
2019-09-05,2,2,2,2,2
2019-09-11,1,1,1,1,1
2019-09-12,1,1,1,1,1
2019-09-13,1,1,1,1,1
2019-09-16,1,1,1,1,1
2019-09-19,1,1,1,1,1
2019-09-23,1,1,1,1,1
2019-09-25,2,2,2,2,2
2019-10-02,1,1,1,1,1
2019-10-08,2,2,2,2,2
2019-11-08,5,5,5,5,5
2019-11-15,1,1,1,1,1
2019-11-18,1,1,1,1,1
2019-11-19,1,1,1,1,1
2019-11-29,1,1,1,1,1
