Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2008-07-16,1,1,1,1,1
2015-03-30,1,1,1,1,1
2015-12-10,1,1,1,1,1
2016-08-15,1,1,1,1,1
2016-10-11,1,1,1,1,1
2016-10-20,1,1,1,1,1
2016-12-09,1,1,1,1,1
2017-01-02,1,1,1,1,1
2017-02-20,1,1,1,1,1
2017-06-09,1,1,1,1,1
2017-06-23,1,1,1,1,1
2017-07-03,1,1,1,1,1
2017-07-07,1,1,1,1,1
2017-11-28,1,1,1,1,1
2017-12-08,1,1,1,1,1
2017-12-22,1,1,1,1,1
2018-05-11,1,1,1,1,1
2018-10-19,1,1,1,1,1
2019-01-29,1,1,1,1,1
2019-02-01,1,1,1,1,1
2019-02-20,1,1,1,1,1
2019-03-07,1,1,1,1,1
2019-03-08,1,1,1,1,1
2019-03-21,2,2,2,2,2
2019-04-24,3,3,3,3,3
2019-05-08,1,1,1,1,1
2019-05-10,1,1,1,1,1
2019-05-16,16,16,16,16,16
2019-05-21,1,1,1,1,1
2019-05-24,1,1,1,1,1
2019-06-11,1,1,1,1,1
2019-06-14,2,2,2,2,2
2019-06-18,1,1,1,1,1
2019-06-21,2,2,2,2,2
2019-06-28,1,1,1,1,1
2019-07-02,1,1,1,1,1
2019-07-09,1,1,1,1,1
2019-07-13,1,1,1,1,1
2019-07-26,2,2,2,2,2
2019-08-02,1,1,1,1,1
2019-08-14,1,1,1,1,1
2019-08-21,1,1,1,1,1
2019-08-30,1,1,1,1,1
2019-09-04,1,1,1,1,1
2019-09-06,1,1,1,1,1
2019-09-09,1,1,1,1,1
2019-09-12,1,1,1,1,1
2019-09-16,1,1,1,1,1
2019-09-27,2,2,2,2,2
2019-10-18,1,1,1,1,1
2019-10-24,1,1,1,1,1
2019-10-28,1,1,1,1,1
2019-11-01,2,2,2,2,2
2019-11-19,1,1,1,1,1
2019-11-28,1,1,1,1,1
2019-12-04,1,1,1,1,1
2019-12-05,2,2,2,2,2
2019-12-12,2,2,2,2,2
2019-12-14,1,1,1,1,1
2019-12-16,1,1,1,1,1
2019-12-19,2,2,2,2,2
2019-12-20,5,5,5,5,5
2019-12-21,1,1,1,1,1
2019-12-23,1,1,1,1,1
2019-12-24,1,1,1,1,1
2019-12-31,2,2,2,2,2
2020-01-08,1,1,1,1,1
2020-01-10,7,7,7,7,7
2020-01-18,1,1,1,1,1
2020-02-13,1,1,1,1,1
2020-02-22,1,1,1,1,1
2020-02-25,1,1,1,1,1
2020-03-06,5,5,5,5,5
2020-03-20,1,1,1,1,1
2020-03-27,1,1,1,1,1
2020-03-30,1,1,1,1,1
2020-04-10,1,1,1,1,1
2020-04-22,1,1,1,1,1
2020-04-28,2,2,2,2,2
2020-05-13,1,1,1,1,1
2020-05-25,2,2,2,2,2
2020-06-19,1,1,1,1,1
2020-06-22,1,1,1,1,1
2020-06-26,1,1,1,1,1
2020-07-02,2,2,2,2,2
2020-07-03,1,1,1,1,1
2020-07-07,1,1,1,1,1
2020-07-13,2,2,2,2,2
2020-07-16,1,1,1,1,1
2020-08-17,2,2,2,2,2
2020-08-18,1,1,1,1,1
2020-08-24,1,1,1,1,1
2020-08-28,1,1,1,1,1
2020-09-04,1,1,1,1,1
2020-09-07,1,1,1,1,1
2020-09-10,1,1,1,1,1
2020-09-14,1,1,1,1,1
2020-09-15,2,2,2,2,2
2020-09-17,1,1,1,1,1
2020-09-22,1,1,1,1,1
2020-10-05,1,1,1,1,1
2020-10-16,1,1,1,1,1
2020-10-29,1,1,1,1,1
2020-11-02,3,3,3,3,3
2020-11-04,1,1,1,1,1
2020-11-16,1,1,1,1,1
2020-11-23,1,1,1,1,1
2020-11-26,5,5,5,5,5
2020-12-03,4,4,4,4,4
2020-12-05,1,1,1,1,1
2020-12-08,1,1,1,1,1
2020-12-11,1,1,1,1,1
2020-12-18,1,1,1,1,1
2020-12-19,1,1,1,1,1
2020-12-23,1,1,1,1,1
2020-12-24,1,1,1,1,1
2020-12-29,3,3,3,3,3
2020-12-30,4,4,4,4,4
2020-12-31,3,3,3,3,3
2021-01-07,3,3,3,3,3
2021-01-16,1,1,1,1,1
2021-01-22,1,1,1,1,1
2021-02-04,1,1,1,1,1
2021-02-26,1,1,1,1,1
2021-03-01,1,1,1,1,1
2021-03-08,5,5,5,5,5
2021-03-11,1,1,1,1,1
2021-03-12,1,1,1,1,1
2021-03-17,2,2,2,2,2
2021-03-19,1,1,1,1,1
2021-03-25,1,1,1,1,1
2021-03-29,1,1,1,1,1
2021-03-30,2,2,2,2,2
2021-03-31,1,1,1,1,1
2021-04-01,1,1,1,1,1
2021-04-09,1,1,1,1,1
2021-04-10,1,1,1,1,1
2021-04-16,3,3,3,3,3
2021-04-20,2,2,2,2,2
2021-04-28,1,1,1,1,1
2021-04-29,1,1,1,1,1
2021-05-26,1,1,1,1,1
2021-05-27,1,1,1,1,1
2021-05-31,1,1,1,1,1
2021-06-04,2,2,2,2,2
2021-06-12,1,1,1,1,1
2021-06-17,2,2,2,2,2
2021-06-21,2,2,2,2,2
2021-06-22,1,1,1,1,1
2021-06-24,2,2,2,2,2
2021-06-25,2,2,2,2,2
2021-07-02,2,2,2,2,2
2021-07-06,1,1,1,1,1
2021-07-08,1,1,1,1,1
2021-07-12,2,2,2,2,2
2021-07-14,1,1,1,1,1
2021-07-16,1,1,1,1,1
2021-07-19,1,1,1,1,1
2021-07-20,2,2,2,2,2
2021-07-22,1,1,1,1,1
2021-07-24,1,1,1,1,1
2021-07-29,1,1,1,1,1
2021-07-30,1,1,1,1,1
2021-07-31,1,1,1,1,1
2021-08-10,1,1,1,1,1
2021-08-17,1,1,1,1,1
2021-08-23,1,1,1,1,1
2021-08-27,1,1,1,1,1
2021-09-10,1,1,1,1,1
2021-09-14,1,1,1,1,1
2021-09-16,1,1,1,1,1
2021-09-17,1,1,1,1,1
2021-09-23,1,1,1,1,1
2021-09-28,2,2,2,2,2
2021-09-29,1,1,1,1,1
2021-10-01,1,1,1,1,1
2021-10-07,1,1,1,1,1
